train_number,station_code,station_sequence,scheduled_arrival,actual_arrival,arrival_delay_min,scheduled_distance_km,current_delay_min,section_avg_delay_min,weather_severity,is_weekend,day_of_week,hour_of_day,train_type,priority_score,platform_congestion,num_stops_so_far,halts_scheduled_min
128,MRJ,21,2026-08-26 16:25:00,2026-08-26 16:43:30,18.5,931.0,3.1,5.5,1,0,2,16,EXP,0.55,0.33,21,10.0
128,KOP,22,2026-08-26 17:45:00,2026-08-26 17:52:00,7.0,978.0,18.5,4.7,0,0,2,17,EXP,0.55,0.14,22,0.0
290,DSJ,1,2026-08-26 18:30:00,2026-08-26 18:32:54,2.9,0.0,0.0,2.7,0,0,2,18,EXP,0.55,0.1,1,0.0
290,GADJ,2,2026-08-26 03:45:00,2026-08-26 03:49:06,4.1,306.0,2.9,5.6,0,0,2,3,EXP,0.55,0.22,2,240.0
290,JP,3,2026-08-26 08:00:00,2026-08-26 08:16:30,16.5,311.0,4.1,13.0,0,0,2,8,EXP,0.55,0.71,3,235.0
290,DPA,4,2026-08-26 18:00:00,2026-08-26 18:13:42,13.7,318.0,16.5,8.6,0,0,2,18,EXP,0.55,0.22,4,120.0
290,SWM,5,2026-08-26 04:45:00,2026-08-26 04:59:36,14.6,442.0,13.7,6.4,0,0,2,4,EXP,0.55,0.53,5,235.0
290,COR,6,2026-08-26 00:05:00,2026-08-26 00:13:30,8.5,707.0,14.6,4.5,1,0,2,0,EXP,0.55,0.25,6,115.0
290,UDZ,7,2026-08-26 08:00:00,2026-08-26 08:09:00,9.0,821.0,8.5,4.4,1,0,2,8,EXP,0.55,0.12,7,180.0
290,JSM,8,2026-08-26 09:15:00,2026-08-26 09:18:24,3.4,1660.0,9.0,5.3,0,0,2,9,EXP,0.55,0.07,8,225.0
290,MDB,9,2026-08-26 07:00:00,2026-08-26 07:04:18,4.3,1951.0,3.4,6.2,0,0,2,7,EXP,0.55,0.02,9,230.0
290,FL,10,2026-08-26 22:00:00,2026-08-26 22:16:54,16.9,2213.0,4.3,4.7,1,0,2,22,EXP,0.55,0.39,10,55.0
290,BTE,11,2026-08-26 05:00:00,2026-08-26 05:26:24,26.4,2455.0,16.9,5.9,2,0,2,5,EXP,0.55,0.37,11,225.0
290,IDH,12,2026-08-26 11:00:00,2026-08-26 11:07:12,7.2,2507.0,26.4,4.7,0,0,2,11,EXP,0.55,0.14,12,30.0
290,AGC,13,2026-08-26 19:00:00,2026-08-26 19:15:48,15.8,2508.0,7.2,12.8,1,0,2,19,EXP,0.55,0.69,13,30.0
290,DSJ,14,2026-08-26 02:30:00,2026-08-26 02:46:00,16.0,2694.0,15.8,7.2,2,0,2,2,EXP,0.55,0.1,14,0.0
401,AWB,1,2026-08-26 21:30:00,2026-08-26 21:46:54,16.9,0.0,0.0,4.6,0,0,2,21,EXP,0.55,0.26,1,0.0
401,MMR,2,2026-08-26 01:20:00,2026-08-26 01:34:42,14.7,131.0,16.9,13.0,0,0,2,1,EXP,0.55,0.83,2,10.0
401,BSL,3,2026-08-26 05:20:00,2026-08-26 05:35:18,15.3,315.0,14.7,15.9,0,0,2,5,EXP,0.55,0.95,3,10.0
401,KNW,4,2026-08-26 07:30:00,2026-08-26 07:46:00,16.0,438.0,15.3,12.6,1,0,2,7,EXP,0.55,0.55,4,5.0
401,JHS,5,2026-08-26 14:55:00,2026-08-26 15:11:18,16.3,1003.0,16.0,11.4,0,0,2,14,EXP,0.55,0.95,5,10.0
401,CNB,6,2026-08-26 19:10:00,2026-08-26 19:22:30,12.5,1221.0,16.3,12.9,0,0,2,19,EXP,0.55,0.95,6,5.0
401,LKO,7,2026-08-26 23:50:00,2026-08-27 00:04:00,14.0,1295.0,12.5,14.4,0,0,2,23,EXP,0.55,0.95,7,5.0
401,BBK,8,2026-08-26 01:15:00,2026-08-26 01:29:48,14.8,1323.0,14.0,9.5,0,0,2,1,EXP,0.55,0.42,8,5.0
401,AY,9,2026-08-26 04:45:00,2026-08-26 04:54:24,9.4,1430.0,14.8,8.8,0,0,2,4,EXP,0.55,0.23,9,5.0
401,SHG,10,2026-08-26 07:10:00,2026-08-26 07:16:06,6.1,1527.0,9.4,3.0,0,0,2,7,EXP,0.55,0.25,10,5.0
401,JNU,11,2026-08-26 08:00:00,2026-08-26 08:11:54,11.9,1561.0,6.1,4.6,0,0,2,8,EXP,0.55,0.26,11,5.0
401,BSB,12,2026-08-26 10:00:00,2026-08-26 10:12:48,12.8,1618.0,11.9,13.8,0,0,2,10,EXP,0.55,0.9,12,0.0
421,LKO,1,2026-08-26 23:00:00,2026-08-26 23:13:54,13.9,0.0,0.0,12.9,0,0,2,23,EXP,0.55,0.95,1,0.0
421,FGR,2,2026-08-26 03:03:00,2026-08-26 03:24:12,21.2,207.0,13.9,4.1,3,0,2,3,EXP,0.55,0.09,2,27.0
421,KSJ,3,2026-08-26 06:00:00,2026-08-26 06:23:18,23.3,319.0,21.2,7.1,3,0,2,6,EXP,0.55,0.22,3,30.0
421,BE,4,2026-08-26 09:42:00,2026-08-26 09:51:30,9.5,456.0,23.3,13.9,0,0,2,9,EXP,0.55,0.66,4,5.0
421,SVDK,5,2026-08-26 08:00:00,2026-08-26 08:03:00,3.0,1276.0,9.5,2.0,0,0,2,8,EXP,0.55,0.17,5,0.0
422,SVDK,1,2026-08-26 11:45:00,2026-08-26 11:54:36,9.6,0.0,0.0,3.5,1,0,2,11,EXP,0.55,0.17,1,0.0
422,BE,2,2026-08-26 03:25:00,2026-08-26 03:44:06,19.1,820.0,9.6,10.9,1,0,2,3,EXP,0.55,0.66,2,5.0
422,KSJ,3,2026-08-26 06:35:00,2026-08-26 06:43:18,8.3,956.0,19.1,7.1,0,0,2,6,EXP,0.55,0.22,3,30.0
422,FGR,4,2026-08-26 09:30:00,2026-08-26 09:35:42,5.7,1069.0,8.3,7.1,0,0,2,9,EXP,0.55,0.09,4,5.0
422,LKO,5,2026-08-26 14:30:00,2026-08-26 14:40:18,10.3,1277.0,5.7,11.4,0,0,2,14,EXP,0.55,0.95,5,0.0
477,SSA,1,2026-08-26 12:10:00,2026-08-26 12:19:00,9.0,0.0,0.0,2.5,1,0,2,12,EXP,0.55,0.08,1,0.0
477,HSR,2,2026-08-26 13:55:00,2026-08-26 14:01:54,6.9,81.0,9.0,5.8,0,0,2,13,EXP,0.55,0.23,2,30.0
477,BNW,3,2026-08-26 15:55:00,2026-08-26 16:27:30,32.5,141.0,6.9,6.8,1,0,2,15,EXP,0.55,0.19,3,25.0
477,ROK,4,2026-08-26 17:38:00,2026-08-26 17:47:12,9.2,189.0,32.5,10.8,0,0,2,17,EXP,0.55,0.4,4,2.0
477,DSJ,5,2026-08-26 20:13:00,2026-08-26 20:18:12,5.2,317.0,9.2,1.2,0,0,2,20,EXP,0.55,0.1,5,2.0
477,CNB,6,2026-08-26 05:30:00,2026-08-26 05:52:06,22.1,762.0,5.2,12.9,0,0,2,5,EXP,0.55,0.95,6,5.0
477,MGS,7,2026-08-26 12:40:00,2026-08-26 13:09:54,29.9,1098.0,22.1,14.4,2,0,2,12,EXP,0.55,0.95,7,10.0
477,MGS,8,2026-08-26 16:10:00,2026-08-26 16:45:30,35.5,1513.0,29.9,15.9,2,0,2,16,EXP,0.55,0.95,8,10.0
477,CNB,9,2026-08-26 21:00:00,2026-08-26 21:23:12,23.2,1850.0,35.5,17.4,2,0,2,21,EXP,0.55,0.95,9,5.0
477,DSJ,10,2026-08-26 07:13:00,2026-08-26 07:18:36,5.6,2299.0,23.2,1.2,1,0,2,7,EXP,0.55,0.1,10,2.0
477,ROK,11,2026-08-26 09:43:00,2026-08-26 09:54:06,11.1,2426.0,5.6,6.3,1,0,2,9,EXP,0.55,0.4,11,2.0
477,BNW,12,2026-08-26 11:05:00,2026-08-26 11:07:06,2.1,2474.0,11.1,5.3,0,0,2,11,EXP,0.55,0.19,12,30.0
477,HSR,13,2026-08-26 13:10:00,2026-08-26 13:17:30,7.5,2534.0,2.1,7.3,0,0,2,13,EXP,0.55,0.23,13,30.0
477,SSA,14,2026-08-26 15:20:00,2026-08-26 15:23:00,3.0,2616.0,7.5,7.0,0,0,2,15,EXP,0.55,0.08,14,0.0
502,RJPB,1,2026-08-26 10:30:00,2026-08-26 10:48:12,18.2,0.0,0.0,5.9,0,0,2,10,EXP,0.55,0.37,1,0.0
502,MGS,2,2026-08-26 14:00:00,2026-08-26 14:13:12,13.2,209.0,18.2,14.4,0,0,2,14,EXP,0.55,0.95,2,10.0
502,CNB,3,2026-08-26 20:30:00,2026-08-26 20:45:12,15.2,557.0,13.2,15.9,0,0,2,20,EXP,0.55,0.95,3,5.0
502,DSJ,4,2026-08-26 04:20:00,2026-08-26 04:35:36,15.6,997.0,15.2,7.2,1,0,2,4,EXP,0.55,0.1,4,25.0
502,SNP,5,2026-08-26 05:50:00,2026-08-26 05:52:12,2.2,1052.0,15.6,3.1,0,0,2,5,EXP,0.55,0.26,5,5.0
502,PNP,6,2026-08-26 06:35:00,2026-08-26 06:54:54,19.9,1097.0,2.2,7.0,3,0,2,6,EXP,0.55,0.46,6,5.0
502,KUN,7,2026-08-26 07:25:00,2026-08-26 07:32:48,7.8,1131.0,19.9,6.1,0,0,2,7,EXP,0.55,0.26,7,5.0
502,KKDE,8,2026-08-26 08:05:00,2026-08-26 08:24:42,19.7,1164.0,7.8,8.5,2,0,2,8,EXP,0.55,0.33,8,5.0
502,UMB,9,2026-08-26 09:30:00,2026-08-26 09:51:18,21.3,1206.0,19.7,17.4,0,0,2,9,EXP,0.55,0.95,9,0.0
504,PNBE,1,2026-08-26 09:00:00,2026-08-26 09:17:54,17.9,0.0,0.0,12.9,0,0,2,9,EXP,0.55,0.95,1,0.0
504,MGS,2,2026-08-26 12:30:00,2026-08-26 12:47:12,17.2,207.0,17.9,14.4,0,0,2,12,EXP,0.55,0.95,2,10.0
504,BTI,3,2026-08-26 10:00:00,2026-08-26 10:06:00,6.0,1313.0,17.2,8.3,0,0,2,10,EXP,0.55,0.32,3,0.0
506,PNBE,1,2026-08-26 14:15:00,2026-08-26 14:31:18,16.3,0.0,0.0,12.9,0,0,2,14,EXP,0.55,0.95,1,0.0
506,MGS,2,2026-08-26 18:10:00,2026-08-26 18:27:12,17.2,207.0,16.3,14.4,0,0,2,18,EXP,0.55,0.95,2,5.0
506,PTA,3,2026-08-26 15:45:00,2026-08-26 15:48:00,3.0,1161.0,17.2,5.6,0,0,2,15,EXP,0.55,0.09,3,0.0
557,URK,1,2026-08-26 23:30:00,2026-08-26 23:46:06,16.1,0.0,0.0,2.1,0,0,2,23,SF,0.85,0.05,1,0.0
557,PJP,2,2026-08-26 11:00:00,2026-08-26 11:10:18,10.3,1301.0,16.1,3.5,1,0,2,11,SF,0.85,0.04,2,0.0
604,PNBE,1,2026-08-26 12:30:00,2026-08-26 12:42:12,12.2,0.0,0.0,12.9,0,0,2,12,EXP,0.55,0.95,1,0.0
604,MGS,2,2026-08-26 16:20:00,2026-08-26 16:50:06,30.1,207.0,12.2,14.4,2,0,2,16,EXP,0.55,0.95,2,10.0
604,ASR,3,2026-08-26 16:00:00,2026-08-26 16:16:06,16.1,1429.0,30.1,10.4,0,0,2,16,EXP,0.55,0.49,3,0.0
1011,CSMT,1,2026-08-26 00:20:00,2026-08-26 00:51:00,31.0,0.0,0.0,12.9,3,0,2,0,SF,0.85,0.95,1,0.0
1011,DR,2,2026-08-26 00:37:00,2026-08-26 00:50:36,13.6,8.0,31.0,14.4,0,0,2,0,SF,0.85,0.95,2,3.0
1011,TNA,3,2026-08-26 01:07:00,2026-08-26 01:19:42,12.7,33.0,13.6,15.9,0,0,2,1,SF,0.85,0.95,3,3.0
1011,KYN,4,2026-08-26 01:32:00,2026-08-26 01:47:30,15.5,53.0,12.7,17.4,0,0,2,1,SF,0.85,0.95,4,3.0
1011,IGP,5,2026-08-26 03:40:00,2026-08-26 03:48:06,8.1,136.0,15.5,4.9,0,0,2,3,SF,0.85,0.41,5,5.0
1011,NK,6,2026-08-26 04:27:00,2026-08-26 04:35:48,8.8,187.0,8.1,8.0,0,0,2,4,SF,0.85,0.54,6,3.0
1011,MMR,7,2026-08-26 05:27:00,2026-08-26 05:54:36,27.6,260.0,8.8,13.0,1,0,2,5,SF,0.85,0.83,7,3.0
1011,JL,8,2026-08-26 07:08:00,2026-08-26 07:36:30,28.5,419.0,27.6,11.2,3,0,2,7,SF,0.85,0.56,8,2.0
1011,BSL,9,2026-08-26 07:35:00,2026-08-26 07:48:00,13.0,444.0,28.5,17.4,0,0,2,7,SF,0.85,0.95,9,10.0
1011,MKU,10,2026-08-26 08:18:00,2026-08-26 08:19:18,1.3,499.0,13.0,3.1,0,0,2,8,SF,0.85,0.26,10,2.0
1011,SEG,11,2026-08-26 08:58:00,2026-08-26 09:14:18,16.3,551.0,1.3,3.4,2,0,2,8,SF,0.85,0.16,11,2.0
1011,AK,12,2026-08-26 09:25:00,2026-08-26 09:33:12,8.2,588.0,16.3,9.2,0,0,2,9,SF,0.85,0.52,12,3.0
1011,MZR,13,2026-08-26 10:02:00,2026-08-26 10:10:42,8.7,626.0,8.2,6.2,0,0,2,10,SF,0.85,0.14,13,3.0
1011,BD,14,2026-08-26 11:02:00,2026-08-26 11:14:12,12.2,667.0,8.7,11.8,0,0,2,11,SF,0.85,0.48,14,3.0
1011,DMN,15,2026-08-26 11:41:00,2026-08-26 11:44:00,3.0,713.0,12.2,1.9,0,0,2,11,SF,0.85,0.16,15,1.0
1011,PLO,16,2026-08-26 11:58:00,2026-08-26 12:04:00,6.0,733.0,3.0,3.3,1,0,2,11,SF,0.85,0.15,16,1.0
1011,WR,17,2026-08-26 12:32:00,2026-08-26 12:35:06,3.1,762.0,6.0,7.3,0,0,2,12,SF,0.85,0.36,17,3.0
1011,NGP,18,2026-08-26 14:20:00,2026-08-26 14:36:12,16.2,841.0,3.1,15.9,0,0,2,14,SF,0.85,0.95,18,0.0
1037,LTT,1,2026-08-26 01:10:00,2026-08-26 01:16:24,6.4,0.0,0.0,8.0,0,0,2,1,EXP,0.55,0.54,1,0.0
1037,TNA,2,2026-08-26 01:33:00,2026-08-26 01:46:00,13.0,17.0,6.4,14.4,0,0,2,1,EXP,0.55,0.95,2,2.0
1037,PNVL,3,2026-08-26 02:10:00,2026-08-26 02:27:06,17.1,54.0,13.0,15.9,0,0,2,2,EXP,0.55,0.95,3,3.0
1037,ROHA,4,2026-08-26 03:53:00,2026-08-26 03:59:48,6.8,131.0,17.1,7.6,0,0,2,3,EXP,0.55,0.13,4,7.0
1037,KHED,5,2026-08-26 05:06:00,2026-08-26 05:06:30,0.5,235.0,6.8,1.3,0,0,2,5,EXP,0.55,0.11,5,2.0
1037,CHI,6,2026-08-26 05:30:00,2026-08-26 05:42:12,12.2,264.0,0.5,4.0,0,0,2,5,EXP,0.55,0.21,6,10.0
1037,RN,7,2026-08-26 06:55:00,2026-08-26 07:24:42,29.7,340.0,12.2,7.6,3,0,2,6,EXP,0.55,0.38,7,5.0
1037,KKW,8,2026-08-26 09:05:00,2026-08-26 09:13:48,8.8,464.0,29.7,6.3,0,0,2,9,EXP,0.55,0.15,8,2.0
1037,KUDL,9,2026-08-26 09:32:00,2026-08-26 09:41:36,9.6,492.0,8.8,8.0,0,0,2,9,EXP,0.55,0.17,9,2.0
1037,SWV,10,2026-08-26 10:30:00,2026-08-26 10:36:36,6.6,513.0,9.6,1.4,0,0,2,10,EXP,0.55,0.12,10,0.0
1038,SWV,1,2026-08-26 14:05:00,2026-08-26 14:15:00,10.0,0.0,0.0,2.9,0,0,2,14,EXP,0.55,0.12,1,0.0
1038,KUDL,2,2026-08-26 14:57:00,2026-08-26 15:11:12,14.2,20.0,10.0,5.0,1,0,2,14,EXP,0.55,0.17,2,2.0
1038,KKW,3,2026-08-26 15:28:00,2026-08-26 15:31:36,3.6,48.0,14.2,6.3,0,0,2,15,EXP,0.55,0.15,3,2.0
1038,RN,4,2026-08-26 17:17:00,2026-08-26 17:25:48,8.8,160.0,3.6,10.6,0,0,2,17,EXP,0.55,0.38,4,5.0
1038,CHI,5,2026-08-26 18:20:00,2026-08-26 18:44:00,24.0,238.0,8.8,2.5,0,0,2,18,EXP,0.55,0.21,5,10.0
1038,KHED,6,2026-08-26 18:52:00,2026-08-26 18:52:12,0.2,268.0,24.0,2.8,0,0,2,18,EXP,0.55,0.11,6,2.0
1038,ROHA,7,2026-08-26 21:30:00,2026-08-26 21:33:36,3.6,371.0,0.2,4.6,0,0,2,21,EXP,0.55,0.13,7,5.0
1038,PNVL,8,2026-08-26 22:40:00,2026-08-26 23:02:54,22.9,449.0,3.6,15.9,0,0,2,22,EXP,0.55,0.95,8,3.0
1038,TNA,9,2026-08-26 23:20:00,2026-08-26 23:34:36,14.6,486.0,22.9,17.4,0,0,2,23,EXP,0.55,0.95,9,5.0
1038,LTT,10,2026-08-26 00:20:00,2026-08-26 00:38:00,18.0,503.0,14.6,6.5,1,0,2,0,EXP,0.55,0.54,10,0.0
1045,LTT,1,2026-08-26 01:10:00,2026-08-26 01:35:12,25.2,0.0,0.0,8.0,3,0,2,1,EXP,0.55,0.54,1,0.0
1045,TNA,2,2026-08-26 01:33:00,2026-08-26 01:46:30,13.5,17.0,25.2,14.4,0,0,2,1,EXP,0.55,0.95,2,2.0
1045,PNVL,3,2026-08-26 02:10:00,2026-08-26 02:27:18,17.3,54.0,13.5,15.9,0,0,2,2,EXP,0.55,0.95,3,3.0
1045,ROHA,4,2026-08-26 03:53:00,2026-08-26 03:56:54,3.9,131.0,17.3,7.6,0,0,2,3,EXP,0.55,0.13,4,7.0
1045,KHED,5,2026-08-26 05:06:00,2026-08-26 05:09:24,3.4,235.0,3.9,1.3,0,0,2,5,EXP,0.55,0.11,5,2.0
1045,CHI,6,2026-08-26 05:30:00,2026-08-26 05:43:18,13.3,264.0,3.4,4.0,1,0,2,5,EXP,0.55,0.21,6,10.0
1045,RN,7,2026-08-26 06:55:00,2026-08-26 07:23:24,28.4,340.0,13.3,7.6,3,0,2,6,EXP,0.55,0.38,7,5.0
1045,KKW,8,2026-08-26 09:05:00,2026-08-26 09:09:24,4.4,464.0,28.4,6.3,0,0,2,9,EXP,0.55,0.15,8,2.0
1045,KUDL,9,2026-08-26 09:32:00,2026-08-26 09:36:42,4.7,492.0,4.4,8.0,0,0,2,9,EXP,0.55,0.17,9,2.0
1045,THVM,10,2026-08-26 10:34:00,2026-08-26 10:45:24,11.4,545.0,4.7,2.4,2,0,2,10,EXP,0.55,0.2,10,2.0
1045,KRMI,11,2026-08-26 11:00:00,2026-08-26 11:15:18,15.3,563.0,11.4,3.4,1,0,2,11,EXP,0.55,0.16,11,0.0
1119,AJNI,1,2026-08-26 19:50:00,2026-08-26 20:11:00,21.0,0.0,0.0,2.8,0,0,2,19,EXP,0.55,0.11,1,0.0
1119,WR,2,2026-08-26 20:50:00,2026-08-26 21:04:18,14.3,75.0,21.0,7.3,0,0,2,20,EXP,0.55,0.36,2,3.0
1119,PLO,3,2026-08-26 21:15:00,2026-08-26 21:29:06,14.1,105.0,14.3,6.3,0,0,2,21,EXP,0.55,0.15,3,3.0
1119,DMN,4,2026-08-26 21:34:00,2026-08-26 21:48:30,14.5,125.0,14.1,7.9,2,0,2,21,EXP,0.55,0.16,4,1.0
1119,BD,5,2026-08-26 22:37:00,2026-08-26 22:47:48,10.8,171.0,14.5,5.8,0,0,2,22,EXP,0.55,0.48,5,3.0
1119,AK,6,2026-08-26 23:42:00,2026-08-26 23:55:54,13.9,250.0,10.8,7.7,0,0,2,23,EXP,0.55,0.52,6,3.0
1119,SEG,7,2026-08-26 00:13:00,2026-08-26 00:15:30,2.5,287.0,13.9,4.9,0,0,2,0,EXP,0.55,0.16,7,2.0
1119,MKU,8,2026-08-26 00:53:00,2026-08-26 00:56:12,3.2,339.0,2.5,7.6,0,0,2,0,EXP,0.55,0.26,8,2.0
1119,BSL,9,2026-08-26 01:50:00,2026-08-26 02:03:24,13.4,394.0,3.2,17.4,0,0,2,1,EXP,0.55,0.95,9,10.0
1119,JL,10,2026-08-26 02:28:00,2026-08-26 02:37:06,9.1,418.0,13.4,6.7,0,0,2,2,EXP,0.55,0.56,10,2.0
1119,CSN,11,2026-08-26 03:28:00,2026-08-26 03:41:48,13.8,511.0,9.1,3.8,2,0,2,3,EXP,0.55,0.19,11,2.0
1119,MMR,12,2026-08-26 04:28:00,2026-08-26 04:49:18,21.3,578.0,13.8,13.0,1,0,2,4,EXP,0.55,0.83,12,2.0
1119,NK,13,2026-08-26 05:28:00,2026-08-26 05:44:18,16.3,651.0,21.3,11.0,0,0,2,5,EXP,0.55,0.54,13,2.0
1119,IGP,14,2026-08-26 06:50:00,2026-08-26 07:14:18,24.3,702.0,16.3,10.9,3,0,2,6,EXP,0.55,0.41,14,15.0
1119,KYN,15,2026-08-26 09:11:00,2026-08-26 09:25:54,14.9,785.0,24.3,11.4,0,0,2,9,EXP,0.55,0.95,15,2.0
1119,PNVL,16,2026-08-26 10:10:00,2026-08-26 10:20:54,10.9,820.0,14.9,12.9,0,0,2,10,EXP,0.55,0.95,16,5.0
1119,ROHA,17,2026-08-26 12:55:00,2026-08-26 13:08:24,13.4,897.0,10.9,4.6,0,0,2,12,EXP,0.55,0.13,17,5.0
1119,KHED,18,2026-08-26 14:10:00,2026-08-26 14:19:18,9.3,1001.0,13.4,5.8,0,0,2,14,EXP,0.55,0.11,18,2.0
1119,CHI,19,2026-08-26 14:42:00,2026-08-26 14:59:54,17.9,1030.0,9.3,8.5,2,0,2,14,EXP,0.55,0.21,19,2.0
1119,RN,20,2026-08-26 16:10:00,2026-08-26 16:15:30,5.5,1106.0,17.9,4.6,0,0,2,16,EXP,0.55,0.38,20,5.0
1119,KKW,21,2026-08-26 17:54:00,2026-08-26 17:59:54,5.9,1230.0,5.5,3.3,0,0,2,17,EXP,0.55,0.15,21,2.0
1119,KUDL,22,2026-08-26 18:20:00,2026-08-26 18:28:36,8.6,1258.0,5.9,5.0,1,0,2,18,EXP,0.55,0.17,22,2.0
1119,THVM,23,2026-08-26 19:34:00,2026-08-26 19:39:30,5.5,1311.0,8.6,6.9,0,0,2,19,EXP,0.55,0.2,23,2.0
1119,KRMI,24,2026-08-26 20:30:00,2026-08-26 20:38:42,8.7,1329.0,5.5,7.9,0,0,2,20,EXP,0.55,0.16,24,0.0
1120,KRMI,1,2026-08-26 21:30:00,2026-08-26 21:43:06,13.1,0.0,0.0,3.4,1,0,2,21,EXP,0.55,0.16,1,0.0
1120,THVM,2,2026-08-26 21:46:00,2026-08-26 21:55:00,9.0,17.0,13.1,5.4,0,0,2,21,EXP,0.55,0.2,2,2.0
1120,KUDL,3,2026-08-26 22:40:00,2026-08-26 22:44:00,4.0,70.0,9.0,6.5,0,0,2,22,EXP,0.55,0.17,3,2.0
1120,KKW,4,2026-08-26 23:08:00,2026-08-26 23:10:30,2.5,98.0,4.0,7.8,0,0,2,23,EXP,0.55,0.15,4,2.0
1120,RN,5,2026-08-26 01:05:00,2026-08-26 01:08:48,3.8,210.0,2.5,4.6,0,0,2,1,EXP,0.55,0.38,5,5.0
1120,CHI,6,2026-08-26 02:30:00,2026-08-26 02:46:12,16.2,288.0,3.8,4.0,0,0,2,2,EXP,0.55,0.21,6,2.0
